source,model,pathology,level,disease,cell_class,anchor_rows,loci,S_observed,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed
MSSM,voomWithQualityWeights,case_control,global,ALL,ALL,272,112,0.04506118291332097,0.04570329947730343,-0.06889099684213673,0.1615764978288664,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,disease,AD,ALL,72,36,0.04053503417845038,0.041012681276850885,-0.1998709822512587,0.27251221657832747,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,disease,SCZ,ALL,200,76,0.04720514810352283,0.04772900900475152,-0.08130332850658678,0.18035976668364215,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,Astro,8,7,-0.2772795467945109,-0.2951292421032221,-0.8310191888362403,0.3909018524001912,True,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,EN,18,13,0.011154273995317102,0.014457128875732472,-0.42530856008695844,0.4398376659671875,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,IN,10,8,-0.10210386349692434,-0.10594957816796527,-0.6622013491134173,0.4600581388728091,True,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,Immune,24,20,0.0625871104674864,0.05788870916298422,-0.296329280301278,0.4239023139263063,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,OPC,3,3,-0.696904498358229,-0.696904498358229,-0.9465492547233948,-0.2771078911977574,True,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,AD,Oligo,9,9,0.15057356986188009,0.1533664122380643,-0.41244504549256666,0.6802228213095176,True,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,Astro,26,22,0.0104766616812765,0.014211952467786362,-0.20125985383019335,0.22607971538543653,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,EN,60,47,-0.1549152495311413,-0.15694716415368953,-0.3403964265384211,0.036531811092148446,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,IN,53,41,0.11938553644231237,0.1211925203102994,-0.05943294882337297,0.30187927108530926,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,Immune,9,9,0.32414165051927846,0.3255328503672824,-0.026401100073624555,0.6531539753492395,True,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,OPC,18,16,0.08783401391450962,0.09079611959160884,-0.19871992458156446,0.3577200044527913,False,10000,20260731
MSSM,voomWithQualityWeights,case_control,stratum,SCZ,Oligo,34,28,0.029368551868960986,0.02863309697967458,-0.19930026843531526,0.2670021222831019,False,10000,20260731
RADC,standard_voom,CERAD,global,AD,ALL,72,36,0.1063738422758626,0.10745627196104143,-0.04855718053322366,0.2615294322373408,False,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,Astro,8,7,0.07820100827816076,0.08252892167187516,-0.44211353067915155,0.5811521467478961,True,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,EN,18,13,0.1884271333425742,0.18820504024664564,-0.10599168134084785,0.4808468695264105,False,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,IN,10,8,0.27037553721368984,0.2733742114787084,-0.02949062372603083,0.5509493963730135,True,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,Immune,24,20,0.014805365087441133,0.013205813003018173,-0.27564609172327864,0.3048954827443266,False,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,OPC,3,3,-0.2369193228725817,-0.23691932287258166,-0.6778799829947609,0.156939741333073,True,10000,20260731
RADC,standard_voom,CERAD,stratum,AD,Oligo,9,9,0.2691111892305636,0.2779063239230462,-0.1436649143122303,0.6336901630142305,True,10000,20260731
RADC,standard_voom,Braak,global,AD,ALL,72,36,0.19028039998223234,0.1916714522541103,0.032657198503252605,0.3413485386559872,False,10000,20260731
RADC,standard_voom,Braak,stratum,AD,Astro,8,7,0.13964513854227542,0.1410272453135779,-0.40918426859563606,0.6346327737608283,True,10000,20260731
RADC,standard_voom,Braak,stratum,AD,EN,18,13,0.29178421547346256,0.29078355318448645,0.028620415112144068,0.5350671565522287,False,10000,20260731
RADC,standard_voom,Braak,stratum,AD,IN,10,8,0.4988683274721282,0.4988609959525966,0.24856986455380145,0.7543070084271379,True,10000,20260731
RADC,standard_voom,Braak,stratum,AD,Immune,24,20,0.1374311425865442,0.1453945980172207,-0.14599981936559422,0.4070093594375978,False,10000,20260731
RADC,standard_voom,Braak,stratum,AD,OPC,3,3,-0.41641878960181195,-0.41641878960181195,-0.9114740539921682,0.0841281795817072,True,10000,20260731
RADC,standard_voom,Braak,stratum,AD,Oligo,9,9,0.3249883739272417,0.330085361877237,-0.011032068961924501,0.6328280412699621,True,10000,20260731
RADC,quality_weights,CERAD,global,AD,ALL,72,36,0.07795619849812231,0.07559540200192168,-0.08458801616983316,0.2430902175251333,False,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,Astro,8,7,0.07847893846081935,0.08276433495382943,-0.5370657138488666,0.6320771227717639,True,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,EN,18,13,0.16137120388364132,0.16273161942840614,-0.16415337489930862,0.4854372084336926,False,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,IN,10,8,0.11812546983541414,0.11635536607156877,-0.2596635922278602,0.4860465222055002,True,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,Immune,24,20,-0.014262998624838197,-0.015051231449193722,-0.30272315648105885,0.2761817895166862,False,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,OPC,3,3,-0.2819455531581853,-0.2819455531581853,-0.7100505881606239,0.20734688251922187,True,10000,20260731
RADC,quality_weights,CERAD,stratum,AD,Oligo,9,9,0.2979480780254356,0.30296159740269024,-0.13559737283981543,0.681142611996885,True,10000,20260731
