cell_class,pathology,locus_id,anchors,S_radc,S_seaad,Delta_S_radc_minus_seaad
Immune,CERAD,AD|ABI3,1,-0.7082745149603626,0.9330487507066987,-1.6413232656670613
Immune,CERAD,AD|ADAM17,1,0.9554815334474696,-0.23653086004726065,1.1920123934947302
Immune,CERAD,AD|ANK3,1,-0.9060194101532669,-0.7627922402519602,-0.14322716990130668
Immune,CERAD,AD|BIN1,2,-0.1281457952677716,-0.9291275007469356,0.800981705479164
Immune,CERAD,AD|BLNK,1,-0.2388795337180265,-0.21170080742809205,-0.02717872628993445
Immune,CERAD,AD|CASS4,1,0.20914283204630557,-0.9911095986692021,1.2002524307155076
Immune,CERAD,AD|CD2AP,1,-0.9988374914528987,0.9312123437182607,-1.9300498351711592
Immune,CERAD,AD|DOC2A,1,0.48682350006665387,0.9966023732451763,-0.5097788731785224
Immune,CERAD,AD|ECHDC3,1,-0.059625468444489904,0.7373904235605309,-0.7970158920050208
Immune,CERAD,AD|EPDR1,1,0.5536886896683282,-0.42302520407569544,0.9767138937440236
Immune,CERAD,AD|EPHA1,4,-0.6176915084550073,-0.585048963210334,-0.03264254524467336
Immune,CERAD,AD|FERMT2,1,0.920961111678678,0.8342381199983311,0.08672299168034692
Immune,CERAD,AD|MS4A6A,1,0.33258731050133905,-0.4492720078585175,0.7818593183598566
Immune,CERAD,AD|NCK2,1,0.7539289067757373,-0.1510599636254154,0.9049888704011527
Immune,CERAD,AD|PICALM,1,-0.8531092237925122,-0.4273703027748824,-0.4257389210176298
Immune,CERAD,AD|PLEKHA1,1,-0.6317973545195841,0.9226390861494145,-1.5544364406689986
Immune,CERAD,AD|RASGEF1C,1,0.946804633387629,0.9171767105004378,0.029627922887191183
Immune,CERAD,AD|RHOH,1,-0.08058909192179797,0.22121089785099746,-0.30179998977279543
Immune,CERAD,AD|SCIMP,1,0.8425693727629642,0.9675158504178929,-0.12494647765492872
Immune,CERAD,AD|WDR81,1,-0.48291119590056364,-0.07498457972695127,-0.40792661617361237
Immune,Braak,AD|ABI3,1,-0.6312570500075027,0.610425385212259,-1.2416824352197615
Immune,Braak,AD|ADAM17,1,0.810336281313492,0.30573257706497237,0.5046037042485196
Immune,Braak,AD|ANK3,1,-0.21938331520838772,-0.6122807648706601,0.39289744966227236
Immune,Braak,AD|BIN1,2,0.015021917604816526,-0.9902215445073934,1.00524346211221
Immune,Braak,AD|BLNK,1,0.20447317998340608,-0.6324597498519938,0.8369329298353999
Immune,Braak,AD|CASS4,1,0.5575816447250459,-0.8702048734824631,1.4277865182075091
Immune,Braak,AD|CD2AP,1,-0.9965832671320157,0.8961453487166191,-1.8927286158486347
Immune,Braak,AD|DOC2A,1,0.8143625442592664,0.9847207759329473,-0.17035823167368092
