model,pathology,S,matched_null_mean,empirical_p_raw,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,leave_one_locus_min,leave_one_locus_max,maximum_absolute_locus_contribution_share,anchor_rows,loci,empirical_p_Holm_primary_family,passes_primary_Holm05
standard,CERAD,0.1063738422758625,0.0259136725217103,0.3194680531946805,0.10664167117779645,-0.04797431001860893,0.2595111333705811,0.0823615339583835,0.1352993637738377,0.066885416714453,72,36,0.3194680531946805,False
standard,Braak,0.1902803999822323,0.0131223909556865,0.0261973802619738,0.19059435317367346,0.03084747229725962,0.34408977811978636,0.167782274890475,0.2225212299417023,0.0647472196928732,72,36,0.0523947605239476,False
quality_weights,CERAD,0.0779561984981223,0.0315726213157177,0.587941205879412,0.07810564592327346,-0.08890102272782367,0.24453855502466834,0.0524395754063166,0.1056244471895219,0.065234907406052,72,36,,False
quality_weights,Braak,0.1591138354857667,0.0190573949366807,0.0887911208879112,0.1609463057499416,-0.01442865910392234,0.327169493756139,0.135495290558305,0.1909970186437829,0.0595359693967753,72,36,,False
min_cells_50,CERAD,0.0987126522281595,0.0324303284287452,0.4064593540645935,0.0983077238321027,-0.05764174257832776,0.2552441725810688,0.0743805875420342,0.1269530883578874,0.0655791898571278,72,36,,False
min_cells_50,Braak,0.1951263499623173,0.0129090147092938,0.0272972702729727,0.19669072747703656,0.0334720536903227,0.348770052457377,0.1727184431439515,0.2276119017024928,0.0642985381251987,72,36,,False
exclude_age89plus,CERAD,0.1030958167610979,0.0270489752292633,0.3128687131286871,0.10182984248181642,-0.03132412669094281,0.23790921746661103,0.0790091807591588,0.1268153428066374,0.07814114293548,72,36,,False
exclude_age89plus,Braak,0.1440913109285179,0.0194208677858114,0.1045895410458954,0.14483651739332054,-0.008780371520401866,0.29204350902933796,0.1204320399167334,0.1744787311723332,0.0689264669805446,72,36,,False
omit_nonad,CERAD,0.1174205055402328,0.0227808021008968,0.2263773622637736,0.11845891981363532,-0.0266482367744016,0.25644876382104237,0.0943155365386672,0.1463084825590618,0.0724053872629683,72,36,,False
omit_nonad,Braak,0.1868620111495968,0.0248703863471746,0.0374962503749625,0.18953473695417833,0.0420742772837096,0.32525223852348845,0.1648516573953973,0.217228647347343,0.0672078600744285,72,36,,False
omit_log_ncells,CERAD,0.1081527588984852,0.0212564244866371,0.2846715328467153,0.10741972063270523,-0.044581627115426715,0.26406936602996783,0.0841617285886216,0.1371167394496908,0.0665051086281206,72,36,,False
omit_log_ncells,Braak,0.1938383982855757,0.0212141498923301,0.0333966603339666,0.1949108092022353,0.034077527389022935,0.34643247362839363,0.171445586638959,0.2261934424920161,0.0653256876898986,72,36,,False
