cell_class,pathology,locus_id,anchors,S_RADC,S_SEAAD_DFC,Delta_S_RADC_minus_SEAAD_DFC
Immune,CERAD,AD|ABI3,1,-0.7082745149603626,0.9380534486218659,-1.6463279635822285
Immune,CERAD,AD|ADAM17,1,0.9554815334474696,0.10919964811281635,0.8462818853346532
Immune,CERAD,AD|ANK3,1,-0.9060194101532669,-0.6440970061272575,-0.2619224040260094
Immune,CERAD,AD|BIN1,2,-0.1281457952677716,-0.7974029668190857,0.6692571715513141
Immune,CERAD,AD|BLNK,1,-0.2388795337180265,-0.02858990429053465,-0.21028962942749185
Immune,CERAD,AD|CASS4,1,0.20914283204630557,-0.9852444776996571,1.1943873097459625
Immune,CERAD,AD|CD2AP,1,-0.9988374914528987,0.8866310896170564,-1.8854685810699552
Immune,CERAD,AD|DOC2A,1,0.48682350006665387,0.9906456264761647,-0.5038221264095109
Immune,CERAD,AD|ECHDC3,1,-0.059625468444489904,0.5996868396707435,-0.6593123081152334
Immune,CERAD,AD|EPDR1,1,0.5536886896683282,0.2985823300199528,0.25510635964837536
Immune,CERAD,AD|EPHA1,4,-0.6176915084550073,-0.6653347417591465,0.04764323330413922
Immune,CERAD,AD|FERMT2,1,0.920961111678678,0.9629426240892409,-0.041981512410562916
Immune,CERAD,AD|MS4A6A,1,0.33258731050133905,0.3320268981866161,0.0005604123147229245
Immune,CERAD,AD|NCK2,1,0.7539289067757373,0.5617826688291774,0.19214623794655994
Immune,CERAD,AD|PICALM,1,-0.8531092237925122,-0.5689722097376579,-0.28413701405485425
Immune,CERAD,AD|PLEKHA1,1,-0.6317973545195841,0.8479222887501212,-1.4797196432697053
Immune,CERAD,AD|RASGEF1C,1,0.946804633387629,0.8580270304993032,0.08877760288832581
Immune,CERAD,AD|RHOH,1,-0.08058909192179797,-0.014442426269498876,-0.0661466656522991
Immune,CERAD,AD|SCIMP,1,0.8425693727629642,0.7206361610018437,0.12193321176112049
Immune,CERAD,AD|WDR81,1,-0.48291119590056364,-0.33221574078530014,-0.1506954551152635
Immune,Braak,AD|ABI3,1,-0.6312570500075027,0.5553776805454402,-1.1866347305529428
Immune,Braak,AD|ADAM17,1,0.810336281313492,0.5438900476841706,0.2664462336293214
Immune,Braak,AD|ANK3,1,-0.21938331520838772,-0.5133651325190742,0.2939818173106865
Immune,Braak,AD|BIN1,2,0.015021917604816526,-0.9524114948556754,0.967433412460492
Immune,Braak,AD|BLNK,1,0.20447317998340608,-0.6507753098299942,0.8552484898134003
Immune,Braak,AD|CASS4,1,0.5575816447250459,-0.6216669263820671,1.179248571107113
Immune,Braak,AD|CD2AP,1,-0.9965832671320157,0.8120713558055457,-1.8086546229375613
Immune,Braak,AD|DOC2A,1,0.8143625442592664,0.9501137398534527,-0.13575119559418636
Immune,Braak,AD|ECHDC3,1,0.117753868623246,0.3555877170106083,-0.23783384838736232
Immune,Braak,AD|EPDR1,1,-0.24215729027620037,0.49230693949566695,-0.7344642297718673
Immune,Braak,AD|EPHA1,4,-0.20983543401414326,-0.7915424843251795,0.5817070503110362
Immune,Braak,AD|FERMT2,1,0.9529138961758719,0.8011180902597466,0.1517958059161253
Immune,Braak,AD|MS4A6A,1,0.5398700431192416,0.2302593336960317,0.3096107094232099
Immune,Braak,AD|NCK2,1,0.15684219186730153,-0.23377336973463458,0.3906155616019361
Immune,Braak,AD|PICALM,1,-0.8764443818386105,0.11287517799397229,-0.9893195598325828
Immune,Braak,AD|PLEKHA1,1,0.30267694134672274,-0.22236155590565143,0.5250384972523742
Immune,Braak,AD|RASGEF1C,1,0.7520025452567127,0.9412259553412499,-0.18922341008453714
Immune,Braak,AD|RHOH,1,0.7695580886192925,0.3313250416772211,0.43823304694207144
Immune,Braak,AD|SCIMP,1,0.8690390959125474,0.4139784063769929,0.45506068953555445
Immune,Braak,AD|WDR81,1,-0.9381486485992179,-0.7947000614686799,-0.14344858713053799
Oligo,CERAD,AD|ABCA7,1,0.8149812768540423,0.9387490656481889,-0.12376778879414663
Oligo,CERAD,AD|APH1B,1,-0.7680357475642632,-0.6979825729681111,-0.07005317459615212
Oligo,CERAD,AD|COX7C,1,0.6168208947085605,0.47681642552612247,0.14000446918243803
Oligo,CERAD,AD|DOC2A,1,-0.6847128451551988,-0.612651365577373,-0.07206147957782583
Oligo,CERAD,AD|EPDR1,1,0.7209461157075772,0.1917479713057313,0.5291981444018459
Oligo,CERAD,AD|GRN,1,0.2760432664297874,0.0976730702361348,0.17837019619365257
Oligo,CERAD,AD|PRKD3,1,-0.0795923264801206,-0.8686190949309818,0.7890267684508612
Oligo,CERAD,AD|SPDYE3,1,0.9569720233729795,0.9821120563797183,-0.025140033006738838
Oligo,CERAD,AD|SPPL2A,1,0.5685780452017077,0.042403016779248626,0.5261750284224591
Oligo,Braak,AD|ABCA7,1,0.8204407632322546,0.9578302335461037,-0.13738947031384918
Oligo,Braak,AD|APH1B,1,-0.4891270141229057,-0.2782551725309229,-0.2108718415919828
Oligo,Braak,AD|COX7C,1,0.5062066236688818,-0.17487328118160606,0.6810799048504879
Oligo,Braak,AD|DOC2A,1,-0.34538396351111533,-0.6557146158638438,0.3103306523527285
Oligo,Braak,AD|EPDR1,1,0.013678210099629773,-0.1928608589108216,0.20653906901045138
Oligo,Braak,AD|GRN,1,0.050812636772444186,-0.3906675930155269,0.4414802297879711
Oligo,Braak,AD|PRKD3,1,0.8106574408525253,-0.5593394075888045,1.3699968484413299
Oligo,Braak,AD|SPDYE3,1,0.862365694820336,0.6804179508616348,0.18194774395870117
Oligo,Braak,AD|SPPL2A,1,0.6952449735331241,0.3151747122992308,0.3800702612338933
EN,CERAD,AD|ADAM17,3,-0.05358344375616882,-0.2664587661885816,0.21287532243241278
EN,CERAD,AD|APH1B,1,0.7897410016484412,-0.8833740588442589,1.6731150604927
EN,CERAD,AD|CD2AP,1,0.7570265861799541,0.8542623834044984,-0.09723579722454434
EN,CERAD,AD|CTSH,1,0.2467799435185125,-0.5467319616011783,0.7935119051196908
EN,CERAD,AD|DOC2A,2,-0.646115824733219,-0.060630332340680715,-0.5854854923925383
EN,CERAD,AD|GRN,1,0.39779638571635156,-0.79242481103349,1.1902211967498415
EN,CERAD,AD|JAZF1,1,-0.5236898444049252,-0.5237663878353387,7.654343041352263e-05
EN,CERAD,AD|PLEKHA1,1,0.9458708555284596,0.8325321794630278,0.1133386760654318
EN,CERAD,AD|RBCK1,1,-0.48202521110132635,0.9170672799307824,-1.3990924910321088
EN,CERAD,AD|TNIP1,1,0.8865836148103954,-0.7902886103281908,1.6768722251385861
EN,CERAD,AD|TPCN1,1,0.04136316798101114,0.0912350210374493,-0.049871853056438153
EN,CERAD,AD|TSPAN14,1,-0.31775043756489785,-0.16860396500451835,-0.1491464725603795
EN,CERAD,AD|WDR12,3,0.40755593963087633,-0.6072135707303662,1.0147695103612424
EN,Braak,AD|ADAM17,3,0.29264476857281285,-0.09486726724332213,0.38751203581613497
EN,Braak,AD|APH1B,1,0.8195312752273258,-0.7254350848343027,1.5449663600616286
EN,Braak,AD|CD2AP,1,0.8650405066248716,0.6119110481953227,0.2531294584295489
EN,Braak,AD|CTSH,1,0.044946632707511425,0.16079912473848235,-0.11585249203097092
EN,Braak,AD|DOC2A,2,-0.44531800622251416,-0.17326820487701677,-0.2720498013454974
EN,Braak,AD|GRN,1,0.436744528501559,-0.5067267699175326,0.9434712984190916
EN,Braak,AD|JAZF1,1,-0.0809486626703555,-0.24182220559886058,0.1608735429285051
EN,Braak,AD|PLEKHA1,1,0.8134161764440584,0.5373172430929889,0.2760989333510695
EN,Braak,AD|RBCK1,1,-0.5126038098525455,0.7278255774799962,-1.2404293873325418
EN,Braak,AD|TNIP1,1,0.977714778193739,-0.8022403857280204,1.7799551639217595
EN,Braak,AD|TPCN1,1,0.2305217533199242,-0.005904243871645232,0.23642599719156943
EN,Braak,AD|TSPAN14,1,-0.005681197608091382,-0.3872365338706736,0.3815553362625822
EN,Braak,AD|WDR12,3,0.3571860579167172,-0.7333098953197097,1.090495953236427
