cell_class,pathology,model_label,analysis,region,adjustment,primary_DFC_standard,anchor_rows,loci,n_samples,n_donors,S,matched_null_mean,empirical_p_raw,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed,empirical_p_BH_within_fixed_model_six,passes_fixed_model_BH05
Immune,CERAD,DFC_standard,region,DFC,standard,True,25,21,80,80,0.22600634027589336,0.0392280146479606,0.1893810618938106,0.2266872426533732,-0.06161790400480525,0.4914384374292228,False,10000,20260731,0.6456554344565543,False
Immune,Braak,DFC_standard,region,DFC,standard,True,25,21,80,80,0.1067663830756654,0.0236674826592206,0.538046195380462,0.10882465049626247,-0.15673655602327066,0.35830685052879496,False,10000,20260731,0.6456554344565543,False
Immune,CERAD,DFC_composition,region,DFC,composition,False,25,21,80,80,0.2394039404786619,0.0661473497748375,0.2478752124787521,0.238984449237155,-0.05057232140489937,0.518572031176888,False,10000,20260731,0.4957504249575042,False
Immune,Braak,DFC_composition,region,DFC,composition,False,25,21,80,80,0.13410159366249863,0.0484924092888832,0.5408459154084592,0.13787994177255897,-0.1477968290673002,0.3960763426766924,False,10000,20260731,0.6490150984901509,False
Immune,CERAD,MEC_standard,region,MEC,standard,False,25,21,81,81,0.08029808082711384,0.0544082932174205,0.8585141485851415,0.08280700364533394,-0.20511433808200003,0.35171439755096573,False,10000,20260731,0.9038096190380962,False
Immune,Braak,MEC_standard,region,MEC,standard,False,25,21,81,81,-0.001127371153006466,0.0180144216865301,0.8948105189481051,-0.001666939139459137,-0.32485296322212176,0.3195838739292952,False,10000,20260731,0.9038096190380962,False
Immune,CERAD,MEC_composition,region,MEC,composition,False,25,21,81,81,0.049812613420067056,0.051514808088541,0.9911008899110088,0.04846803241794945,-0.23334238943392122,0.3272744001759432,False,10000,20260731,0.9911008899110088,False
Immune,Braak,MEC_composition,region,MEC,composition,False,25,21,81,81,-0.016931197047027433,0.0291976686567068,0.7475252474752525,-0.017187106798455955,-0.33725584654707985,0.2977151707728843,False,10000,20260731,0.9911008899110088,False
Immune,CERAD,MTG_standard,region,MTG,standard,False,25,21,83,83,0.05963998710922048,0.0551463328301906,0.9762023797620238,0.06017028226585027,-0.24160330244616968,0.36624345034724454,False,10000,20260731,0.9762023797620238,False
Immune,Braak,MTG_standard,region,MTG,standard,False,25,21,83,83,0.01921572658457102,0.0494898445904254,0.82991700829917,0.020662436999853262,-0.29020883607324766,0.33163907594896364,False,10000,20260731,0.9762023797620238,False
Immune,CERAD,MTG_composition,region,MTG,composition,False,25,21,83,83,0.08981174515245768,0.0578713007271289,0.8388161183881612,0.09009898766393135,-0.1898147235174245,0.3674342827193497,False,10000,20260731,0.8867113288671132,False
Immune,Braak,MTG_composition,region,MTG,composition,False,25,21,83,83,0.05874024837353292,0.0248623564839363,0.8122187781221878,0.057373083730330635,-0.23049558404669815,0.3446493160275297,False,10000,20260731,0.8867113288671132,False
Immune,CERAD,repeated_standard,repeated,DFC_MEC_MTG,standard,False,25,21,244,84,0.07428579064391674,0.0257437564432621,0.7679232076792321,0.07348214797895042,-0.25088832662783483,0.4026612503533248,False,10000,20260731,0.9215078492150784,False
Immune,Braak,repeated_standard,repeated,DFC_MEC_MTG,standard,False,25,21,244,84,0.06329573709964607,0.0540159679949283,0.950904909509049,0.06215497920679749,-0.2716374096741208,0.3957453825084679,False,10000,20260731,0.950904909509049,False
Oligo,CERAD,DFC_standard,region,DFC,standard,True,9,9,80,80,0.06113873026651982,-0.0968375653028488,0.4534546545345465,0.05942945009624433,-0.3515979888995651,0.47141817443675593,True,10000,20260731,0.6456554344565543,False
Oligo,Braak,DFC_standard,region,DFC,standard,True,9,9,80,80,-0.033143114709395065,-0.0429741442203521,0.952004799520048,-0.04141052114334049,-0.3609181758756197,0.3257160715827148,True,10000,20260731,0.952004799520048,False
Oligo,CERAD,DFC_composition,region,DFC,composition,False,9,9,80,80,-0.3282592006313862,0.0631506145000457,0.0503949605039496,-0.3327660807238957,-0.670904264372605,0.08018739754137966,True,10000,20260731,0.2684731526847315,False
Oligo,Braak,DFC_composition,region,DFC,composition,False,9,9,80,80,-0.24661503338354646,0.0631233975291252,0.0894910508949105,-0.2511653155882631,-0.5630573179357656,0.12284550606622814,True,10000,20260731,0.2684731526847315,False
Oligo,CERAD,MEC_standard,region,MEC,standard,False,9,9,80,80,-0.04680669595549038,-0.126808226108551,0.7383261673832616,-0.04729808285713741,-0.5458836742871932,0.47457793127531567,True,10000,20260731,0.9038096190380962,False
