adjustment,cell_class,pathology,other_region,locus_id,anchors,S_DFC,S_other,Delta_S_DFC_minus_other
standard,Immune,CERAD,MEC,AD|ABI3,1,0.938053448621866,0.8413723771357393,0.0966810714861267
standard,Immune,CERAD,MEC,AD|ADAM17,1,0.1091996481128161,0.1946096427474402,-0.08540999463462409
standard,Immune,CERAD,MEC,AD|ANK3,1,-0.6440970061272574,0.0030548423422203,-0.6471518484694777
standard,Immune,CERAD,MEC,AD|BIN1,2,-0.7974029668190856,-0.9759861382889918,0.1785831714699062
standard,Immune,CERAD,MEC,AD|BLNK,1,-0.0285899042905347,-0.8419928285410353,0.8134029242505006
standard,Immune,CERAD,MEC,AD|CASS4,1,-0.9852444776996572,-0.946979144030394,-0.03826533366926321
standard,Immune,CERAD,MEC,AD|CD2AP,1,0.8866310896170565,0.6783117105557763,0.20831937906128017
standard,Immune,CERAD,MEC,AD|DOC2A,1,0.9906456264761648,0.9977235117179184,-0.007077885241753568
standard,Immune,CERAD,MEC,AD|ECHDC3,1,0.5996868396707435,0.3389941935254249,0.2606926461453186
standard,Immune,CERAD,MEC,AD|EPDR1,1,0.2985823300199527,-0.5137290995697689,0.8123114295897216
standard,Immune,CERAD,MEC,AD|EPHA1,4,-0.6653347417591465,-0.4182239860225242,-0.24711075573662233
standard,Immune,CERAD,MEC,AD|FERMT2,1,0.962942624089241,0.5486721130874351,0.4142705110018059
standard,Immune,CERAD,MEC,AD|MS4A6A,1,0.3320268981866161,-0.8829526819013999,1.2149795800880159
standard,Immune,CERAD,MEC,AD|NCK2,1,0.5617826688291774,-0.431837134147305,0.9936198029764824
standard,Immune,CERAD,MEC,AD|PICALM,1,-0.5689722097376579,-0.0555436460663835,-0.5134285636712744
standard,Immune,CERAD,MEC,AD|PLEKHA1,1,0.8479222887501214,0.882830210798146,-0.03490792204802462
standard,Immune,CERAD,MEC,AD|RASGEF1C,1,0.8580270304993032,0.7975431411653285,0.06048388933397464
standard,Immune,CERAD,MEC,AD|RHOH,1,-0.0144424262694987,0.600907065018877,-0.6153494912883757
standard,Immune,CERAD,MEC,AD|SCIMP,1,0.7206361610018439,0.9462952494229916,-0.22565908842114768
standard,Immune,CERAD,MEC,AD|SIGLEC11,1,0.6762959654069964,-0.2963749878704739,0.9726709532774703
standard,Immune,CERAD,MEC,AD|WDR81,1,-0.3322157407853,0.2195652862903693,-0.5517810270756693
standard,Immune,CERAD,MTG,AD|ABI3,1,0.938053448621866,0.8060872720715523,0.13196617655031373
standard,Immune,CERAD,MTG,AD|ADAM17,1,0.1091996481128161,-0.7666796898282245,0.8758793379410407
standard,Immune,CERAD,MTG,AD|ANK3,1,-0.6440970061272574,-0.6150168804455902,-0.02908012568166718
standard,Immune,CERAD,MTG,AD|BIN1,2,-0.7974029668190856,-0.8886129795191573,0.09121001270007167
standard,Immune,CERAD,MTG,AD|BLNK,1,-0.0285899042905347,-0.2390197577051371,0.21042985341460238
standard,Immune,CERAD,MTG,AD|CASS4,1,-0.9852444776996572,-0.9668349022050524,-0.018409575494604757
standard,Immune,CERAD,MTG,AD|CD2AP,1,0.8866310896170565,0.5605226076106066,0.32610848200644993
standard,Immune,CERAD,MTG,AD|DOC2A,1,0.9906456264761648,0.9997775700860292,-0.009131943609864357
standard,Immune,CERAD,MTG,AD|ECHDC3,1,0.5996868396707435,0.8425011599427774,-0.24281432027203387
standard,Immune,CERAD,MTG,AD|EPDR1,1,0.2985823300199527,-0.7983182098601413,1.0969005398800942
standard,Immune,CERAD,MTG,AD|EPHA1,4,-0.6653347417591465,-0.5879039569663111,-0.07743078479283538
standard,Immune,CERAD,MTG,AD|FERMT2,1,0.962942624089241,0.9257752383128572,0.03716738577638379
standard,Immune,CERAD,MTG,AD|MS4A6A,1,0.3320268981866161,-0.0934744037471964,0.4255013019338125
standard,Immune,CERAD,MTG,AD|NCK2,1,0.5617826688291774,-0.2108446244965215,0.7726272933256989
standard,Immune,CERAD,MTG,AD|PICALM,1,-0.5689722097376579,-0.3660263686190453,-0.20294584111861264
standard,Immune,CERAD,MTG,AD|PLEKHA1,1,0.8479222887501214,0.9504644790905964,-0.10254219034047496
standard,Immune,CERAD,MTG,AD|RASGEF1C,1,0.8580270304993032,0.9500014194446084,-0.09197438894530519
standard,Immune,CERAD,MTG,AD|RHOH,1,-0.0144424262694987,0.7257193845499104,-0.740161810819409
standard,Immune,CERAD,MTG,AD|SCIMP,1,0.7206361610018439,0.8528906935527638,-0.1322545325509199
standard,Immune,CERAD,MTG,AD|SIGLEC11,1,0.6762959654069964,-0.5044721454366811,1.1807681108436774
standard,Immune,CERAD,MTG,AD|WDR81,1,-0.3322157407853,-0.3240961765390134,-0.00811956424628657
standard,Immune,Braak,MEC,AD|ABI3,1,0.5553776805454401,0.6294874762958836,-0.07410979575044352
standard,Immune,Braak,MEC,AD|ADAM17,1,0.5438900476841706,0.2031007018148015,0.3407893458693691
standard,Immune,Braak,MEC,AD|ANK3,1,-0.5133651325190741,-0.4347747741442067,-0.07859035837486744
standard,Immune,Braak,MEC,AD|BIN1,2,-0.9524114948556754,-0.9770963826394214,0.024684887783746
standard,Immune,Braak,MEC,AD|BLNK,1,-0.6507753098299942,-0.9241753081848956,0.27339999835490136
standard,Immune,Braak,MEC,AD|CASS4,1,-0.6216669263820672,-0.818733795393804,0.19706686901173676
standard,Immune,Braak,MEC,AD|CD2AP,1,0.8120713558055457,0.8738978314196761,-0.06182647561413046
standard,Immune,Braak,MEC,AD|DOC2A,1,0.9501137398534528,0.9881741085565314,-0.038060368703078606
standard,Immune,Braak,MEC,AD|ECHDC3,1,0.3555877170106084,0.2796846536682529,0.07590306334235547
standard,Immune,Braak,MEC,AD|EPDR1,1,0.4923069394956672,-0.8612985015682613,1.3536054410639284
standard,Immune,Braak,MEC,AD|EPHA1,4,-0.7915424843251795,-0.17543461573350821,-0.6161078685916712
standard,Immune,Braak,MEC,AD|FERMT2,1,0.8011180902597468,0.5412775265702292,0.2598405636895176
