adjustment,cell_class,pathology,contrast,other_region,common_anchor_rows,common_loci,S_DFC_common,S_other_common,Delta_S_DFC_minus_other,bootstrap_median_Delta,bootstrap_CI95_lower,bootstrap_CI95_upper,bootstrap_centered_two_sided_p,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed,bootstrap_p_BH_within_adjustment_12,passes_adjustment_BH05
standard,Immune,CERAD,DFC_minus_MEC,MEC,25,21,0.22600634027589336,0.08029808082711384,0.14570825944877952,0.14313583171077726,-0.08032885273577185,0.37785864581923007,0.21057894210578942,False,10000,20260731,0.5053894610538946,False
standard,Immune,CERAD,DFC_minus_MTG,MTG,25,21,0.22600634027589336,0.05963998710922048,0.1663663531666729,0.16250685869495873,-0.02111542555720484,0.37003136845689405,0.0958904109589041,False,10000,20260731,0.31766823317668236,False
standard,Immune,Braak,DFC_minus_MEC,MEC,25,21,0.1067663830756654,-0.001127371153006466,0.10789375422867183,0.10447701088285988,-0.13337706798926333,0.35163675257460225,0.37936206379362064,False,10000,20260731,0.6096723660967237,False
standard,Immune,Braak,DFC_minus_MTG,MTG,25,21,0.1067663830756654,0.01921572658457102,0.08755065649109434,0.08286291376594637,-0.1656144458964763,0.3683087626716267,0.515948405159484,False,10000,20260731,0.6191380861913809,False
standard,Oligo,CERAD,DFC_minus_MEC,MEC,9,9,0.06113873026651982,-0.04680669595549038,0.1079454262220102,0.10344660313945148,-0.15711786456146287,0.4060996537964929,0.45725427457254275,True,10000,20260731,0.6096723660967237,False
standard,Oligo,CERAD,DFC_minus_MTG,MTG,9,9,0.06113873026651982,-0.33210521560472805,0.3932439458712479,0.39332642626298,0.1987604414736564,0.6107317772083294,0.00039996000399960006,True,10000,20260731,0.0047995200479952005,True
standard,Oligo,Braak,DFC_minus_MEC,MEC,9,9,-0.033143114709395065,0.04320674217829104,-0.07634985688768609,-0.07941007298289895,-0.34540206446216365,0.19511989022274992,0.5925407459254075,True,10000,20260731,0.6464080864640809,False
standard,Oligo,Braak,DFC_minus_MTG,MTG,9,9,-0.033143114709395065,-0.35509095165185367,0.3219478369424586,0.3253069220737459,0.11095833211928001,0.5170354245778236,0.0018998100189981002,True,10000,20260731,0.011398860113988602,True
standard,EN,CERAD,DFC_minus_MEC,MEC,18,13,-0.14956889231314194,-0.09439426538011718,-0.055174626933024745,-0.05241454384927415,-0.21333036278153622,0.08493286579114803,0.45015498450154984,False,10000,20260731,0.6096723660967237,False
standard,EN,CERAD,DFC_minus_MTG,MTG,18,13,-0.14956889231314194,-0.196625231393242,0.04705633908010008,0.05307651458922368,-0.18331007416685657,0.26191032521109026,0.6884311568843116,False,10000,20260731,0.6884311568843117,False
standard,EN,Braak,DFC_minus_MEC,MEC,18,13,-0.12561212290417645,0.07435226797546567,-0.19996439087964213,-0.2012644011462006,-0.4408329954812875,0.045647862246941694,0.10588941105889411,False,10000,20260731,0.31766823317668236,False
standard,EN,Braak,DFC_minus_MTG,MTG,18,13,-0.12561212290417645,-0.21081737897349184,0.08520525606931535,0.09122137450011113,-0.14227142008362784,0.29155168497174355,0.44245575442455753,False,10000,20260731,0.6096723660967237,False
composition,Immune,CERAD,DFC_minus_MEC,MEC,25,21,0.2394039404786619,0.049812613420067056,0.1895913270585948,0.18605184718156698,-0.0478932671487492,0.4446468219886273,0.13188681131886812,False,10000,20260731,0.6029397060293971,False
composition,Immune,CERAD,DFC_minus_MTG,MTG,25,21,0.2394039404786619,0.08981174515245768,0.1495921953262042,0.14828516977348166,0.007156880868800657,0.2987933769495956,0.044795520447955206,False,10000,20260731,0.5375462453754625,False
composition,Immune,Braak,DFC_minus_MEC,MEC,25,21,0.13410159366249863,-0.016931197047027433,0.15103279070952605,0.1490263269198448,-0.1307584700572019,0.44266634584164133,0.30446955304469553,False,10000,20260731,0.7307269273072693,False
composition,Immune,Braak,DFC_minus_MTG,MTG,25,21,0.13410159366249863,0.05874024837353292,0.07536134528896575,0.07089393104053897,-0.1736383427699628,0.3381871775920292,0.5622437756224378,False,10000,20260731,0.9177582241775823,False
composition,Oligo,CERAD,DFC_minus_MEC,MEC,9,9,-0.3282592006313862,-0.11920552400464397,-0.20905367662674226,-0.21115219220121992,-0.5122210499790393,0.10599109853998262,0.17668233176682333,True,10000,20260731,0.6029397060293971,False
composition,Oligo,CERAD,DFC_minus_MTG,MTG,9,9,-0.3282592006313862,-0.2986620045355285,-0.029597196095857696,-0.027345276598122352,-0.2905951068348353,0.22389387634054453,0.8223177682231777,True,10000,20260731,0.9397060293970604,False
composition,Oligo,Braak,DFC_minus_MEC,MEC,9,9,-0.24661503338354646,0.01484244282630144,-0.2614574762098479,-0.2695780856941329,-0.6347313527720542,0.155395695068761,0.200979902009799,True,10000,20260731,0.6029397060293971,False
composition,Oligo,Braak,DFC_minus_MTG,MTG,9,9,-0.24661503338354646,-0.11413470639053151,-0.13248032699301499,-0.1265611412153699,-0.5695714137675773,0.29214355046029283,0.5493450654934506,True,10000,20260731,0.9177582241775823,False
