object_name,source_url,file_size_bytes,official_s3_etag,local_multipart_etag,download_completed_at,source_release_date_in_name,redistributed_in_bundle
SEAAD_CA2-4_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_CA2-4_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,9114620,8e64cbf03f9091d8acc9f21d1a3c2a34-2,8e64cbf03f9091d8acc9f21d1a3c2a34-2,2026-07-30T19:53:29+08:00,2026-06-22,False
SEAAD_EC-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_EC-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,67558893,a7a648204e1809263040e726e763cff3-9,a7a648204e1809263040e726e763cff3-9,2026-07-30T19:54:08+08:00,2026-06-22,False
SEAAD_L23-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L23-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,337157346,579ea07a9a1247628e825442dc8cc0c4-41,579ea07a9a1247628e825442dc8cc0c4-41,2026-07-30T23:51:31+08:00,2026-06-22,False
SEAAD_L4-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L4-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,145817470,907dcfd6e46a558bcdab6de56bb7234a-18,907dcfd6e46a558bcdab6de56bb7234a-18,2026-07-30T23:52:35+08:00,2026-06-22,False
SEAAD_L5-ET_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L5-ET_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,51405975,2d873c891d46efe72da18e032274169c-7,2d873c891d46efe72da18e032274169c-7,2026-07-30T23:52:59+08:00,2026-06-22,False
SEAAD_L5-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L5-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,244907247,860259518bc9afddc8d9d82ef9893379-30,860259518bc9afddc8d9d82ef9893379-30,2026-07-31T00:21:37+08:00,2026-06-22,False
SEAAD_L56-NP_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L56-NP_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,117094493,1e4a62f9bdcaec76ecce118e5db0c07c-14,1e4a62f9bdcaec76ecce118e5db0c07c-14,2026-07-31T01:00:14+08:00,2026-06-22,False
SEAAD_L6-CT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L6-CT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,143481432,64ead4029a0a71032d534954d4228f03-18,64ead4029a0a71032d534954d4228f03-18,2026-07-31T01:08:32+08:00,2026-06-22,False
SEAAD_L6-IT-Car3_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L6-IT-Car3_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,78549894,50ea67d9b65049d106d5b937380ebbd9-10,50ea67d9b65049d106d5b937380ebbd9-10,2026-07-31T01:09:11+08:00,2026-06-22,False
SEAAD_L6-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/pseudobulk_objects/SEAAD_L6-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,128019724,fc03cd468944e72337f4691185c0a467-16,fc03cd468944e72337f4691185c0a467-16,2026-07-31T01:18:35+08:00,2026-06-22,False
