analysis_set,anchor_unit_id,disease,primary_gwas,locus_id,locus_label,gwas_lead_snp,source_gwas_lead_snps,source_lead_signal_ids,eligible_source_gwas_lead_snps,eligible_source_lead_signal_ids,gene_symbol,gene_id,cell_class,beta_G,SE_G,P_beta_G_positive,beta_G_sign_probability,direction_class,PP4,PP4_relaxed_max_diagnostic,coloc_join_status,mr_p_value,mr_bh_fdr,mr_nsnp,egger_intercept_p,eqtl_finemap_max_PIP,evidence_grade,grade_reason,primary_anchor_eligible,qtl_label,qtl_resolution,cell_mapping_confidence,source_qtl_labels,source_signal_count,all_signal_grades,qtl_lead_snp,complex_region,effect_interpretation,allele_reaudit_status,source_doi,gene_id_clean,beta_D,SE_D,expression_estimable,pathology_phenotype,disease_expression_resource,replication_role
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000151694|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,ADAM17,ENSG00000151694,EN,-0.222,0.081,0.00306504280471,0.996934957195,higher_expression_lower_disease_risk,0.83,0.83,exact,0.00592,0.010943030303,4,0.0702,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext,major_class,high_exact,Ext,1,,rs12992105,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000151694,-0.0726061668465475,0.0245652408379715,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000134330|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,IAH1,ENSG00000134330,EN,0.111,0.04,0.997239914609,0.997239914609,higher_expression_higher_disease_risk,0.87,0.87,exact,0.00515,0.00978660436137,7,0.133,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext4,subtype_parent_mapping,high_parent,Ext4;Ext8,2,,rs62119384,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000134330,-0.0332876615860265,0.0227108596571357,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000119185|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,ITGB1BP1,ENSG00000119185,EN,0.191,0.024,1.0,1.0,higher_expression_higher_disease_risk,0.98,0.98,exact,1.13e-15,1.20929824561e-14,8,0.119,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext2,2,,rs55793962,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000119185,-0.0347914066835967,0.0186702660491667,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|APH1B|ENSG00000138613|EN,AD,Bellenguez et al.,AD|APH1B,APH1B,rs117618017,rs117618017,AD|rs117618017,rs117618017,AD|rs117618017,APH1B,ENSG00000138613,EN,0.319,0.124,0.994952828226,0.994952828226,higher_expression_higher_disease_risk,1.0,1.0,exact,0.0103,0.0180545977011,5,0.0693,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext1;Ext2,3,,rs117618017,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000138613,-0.0674840046819658,0.0419417708777714,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|CD2AP|ENSG00000198087|EN,AD,Bellenguez et al.,AD|CD2AP,CD2AP,rs7767350,rs7767350,AD|rs7767350,rs7767350,AD|rs7767350,CD2AP,ENSG00000198087,EN,0.209,0.065,0.999348650733,0.999348650733,higher_expression_higher_disease_risk,0.95,0.95,exact,0.00125,0.00283457249071,6,0.961,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext4;Ext7,3,,rs9473122,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000198087,0.0304952935924317,0.0209045333329878,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|CTSH|ENSG00000103811|EN,AD,Bellenguez et al.,AD|CTSH,CTSH,rs12592898,rs12592898,AD|rs12592898,rs12592898,AD|rs12592898,CTSH,ENSG00000103811,EN,-0.103,0.025,1.89436199505e-05,0.99998105638,higher_expression_lower_disease_risk,1.0,1.0,exact,2.77e-05,8.80052083333e-05,5,0.0513,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext1;Ext2,3,,rs12148472,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000103811,0.0225343156966371,0.0300452632919704,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|DOC2A|ENSG00000169592|EN,AD,Bellenguez et al.,AD|DOC2A,DOC2A,rs1140239,rs1140239,AD|rs1140239,rs1140239,AD|rs1140239,INO80E,ENSG00000169592,EN,0.179,0.018,1.0,1.0,higher_expression_higher_disease_risk,0.99,0.99,exact,2.5300000000000003e-22,4.28694444444e-21,4,0.885,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext2,subtype_parent_mapping,high_parent,Ext2,1,,rs12598856,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000169592,0.0179062027852809,0.0294073122430743,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|DOC2A|ENSG00000090238|EN,AD,Bellenguez et al.,AD|DOC2A,DOC2A,rs1140239,rs1140239,AD|rs1140239,rs1140239,AD|rs1140239,YPEL3,ENSG00000090238,EN,-0.408,0.108,7.91169860461e-05,0.999920883014,higher_expression_lower_disease_risk,0.81,0.81,exact,0.000161,0.000448447488584,4,0.0671,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext,major_class,high_exact,Ext,1,,rs3814878,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000090238,0.0402713050333272,0.050071374869081,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|GRN|ENSG00000030582|EN,AD,Bellenguez et al.,AD|GRN,GRN,rs5848,rs5848,AD|rs5848,rs5848,AD|rs5848,GRN,ENSG00000030582,EN,-0.31,0.049,1.25367272119e-10,0.999999999875,higher_expression_lower_disease_risk,1.0,1.0,exact,3.06e-10,2.074e-09,4,0.203,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext1;Ext4,3,,rs5848,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000030582,0.0440440956883775,0.0349483894814435,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|JAZF1|ENSG00000153814|EN,AD,Bellenguez et al.,AD|JAZF1,JAZF1,rs1160871,rs1160871,AD|rs1160871,rs1160871,AD|rs1160871,JAZF1,ENSG00000153814,EN,-0.126,0.054,0.00981532862865,0.990184671371,higher_expression_lower_disease_risk,0.9,0.9,exact,0.0185,0.0295418848168,8,0.994,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext7,subtype_parent_mapping,high_parent,Ext7,1,,rs10951192,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000153814,0.0187790752768571,0.0257452772063645,True,CERAD,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
