analysis_set,anchor_unit_id,disease,primary_gwas,locus_id,locus_label,gwas_lead_snp,source_gwas_lead_snps,source_lead_signal_ids,eligible_source_gwas_lead_snps,eligible_source_lead_signal_ids,gene_symbol,gene_id,cell_class,beta_G,SE_G,P_beta_G_positive,beta_G_sign_probability,direction_class,PP4,PP4_relaxed_max_diagnostic,coloc_join_status,mr_p_value,mr_bh_fdr,mr_nsnp,egger_intercept_p,eqtl_finemap_max_PIP,evidence_grade,grade_reason,primary_anchor_eligible,qtl_label,qtl_resolution,cell_mapping_confidence,source_qtl_labels,source_signal_count,all_signal_grades,qtl_lead_snp,complex_region,effect_interpretation,allele_reaudit_status,source_doi,gene_id_clean,beta_D,SE_D,expression_estimable,pathology_phenotype,disease_expression_resource,replication_role
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ABI3|ENSG00000198740|Immune,AD,Bellenguez et al.,AD|ABI3,ABI3,rs616338,rs616338,AD|rs616338,rs616338,AD|rs616338,ZNF652,ENSG00000198740,Immune,0.109,0.015,1.0,1.0,higher_expression_higher_disease_risk,0.96,0.96,exact,1.31e-13,1.21075757576e-12,6,0.297,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG1,subtype_parent_mapping,high_parent,MG1;MG2,2,,rs35587648,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000198740,0.0329721482516056,0.0431340543684034,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000119185|Immune,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,ITGB1BP1,ENSG00000119185,Immune,0.252,0.095,0.996006650379,0.996006650379,higher_expression_higher_disease_risk,0.81,0.81,exact,0.00778,0.0140408284024,3,0.739,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG,major_class,high_exact,MG,1,,rs11691132,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000119185,0.0286117797033595,0.0380206733777975,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ANK3|ENSG00000108091|Immune,AD,Bellenguez et al.,AD|ANK3,ANK3,rs7068231,rs7068231,AD|rs7068231,rs7068231,AD|rs7068231,CCDC6,ENSG00000108091,Immune,-0.137,0.025,2.12662917831e-08,0.999999978734,higher_expression_lower_disease_risk,0.97,0.97,exact,5.14e-08,2.54910569106e-07,5,0.42,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,MG,major_class,high_exact,MG,1,,rs7069483,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000108091,0.021577557778032,0.0310168966915297,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|BIN1|ENSG00000136717|Immune,AD,Bellenguez et al.,AD|BIN1,BIN1,rs6733839,rs6733839,AD|rs6733839,rs6733839,AD|rs6733839,BIN1,ENSG00000136717,Immune,0.386,0.054,1.0,1.0,higher_expression_higher_disease_risk,1.0,1.0,exact,1.05e-12,9.28260869565e-12,5,0.362,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG1,subtype_parent_mapping,high_parent,MG1;MG3,2,,rs6733839,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000136717,-0.174361384704606,0.087766644381458,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|BIN1|ENSG00000186684|Immune,AD,Bellenguez et al.,AD|BIN1,BIN1,rs6733839,rs6733839,AD|rs6733839,rs6733839,AD|rs6733839,CYP27C1,ENSG00000186684,Immune,0.482,0.15,0.999343980395,0.999343980395,higher_expression_higher_disease_risk,1.0,1.0,exact,0.00126,0.00284666666667,4,0.12,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,MG,major_class,high_exact,MG;MG1,2,,rs4663105,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000186684,-0.273479623693152,0.137661133846886,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|BLNK|ENSG00000095585|Immune,AD,Bellenguez et al.,AD|BLNK,BLNK,rs6584063,rs6584063,AD|rs6584063,rs6584063,AD|rs6584063,BLNK,ENSG00000095585,Immune,0.135,0.027,0.999999713348,0.999999713348,higher_expression_higher_disease_risk,0.98,0.98,exact,8.65e-07,3.58945578231e-06,7,0.61,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG1,subtype_parent_mapping,high_parent,MG1,1,,rs141225626,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000095585,-0.0511145228557155,0.0546039954160873,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|CASS4|ENSG00000087589|Immune,AD,Bellenguez et al.,AD|CASS4,CASS4,rs6014724,rs6014724,AD|rs6014724,rs6014724,AD|rs6014724,CASS4,ENSG00000087589,Immune,-0.152,0.048,0.00077098478447,0.999229015216,higher_expression_lower_disease_risk,0.99,0.99,exact,0.00145,0.00326383763838,3,0.234,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG1,subtype_parent_mapping,high_parent,MG1,1,,rs6014722,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000087589,0.0755754234572883,0.0856139149570147,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|CD2AP|ENSG00000198087|Immune,AD,Bellenguez et al.,AD|CD2AP,CD2AP,rs7767350,rs7767350,AD|rs7767350,rs7767350,AD|rs7767350,CD2AP,ENSG00000198087,Immune,0.224,0.034,0.999999999978,0.999999999978,higher_expression_higher_disease_risk,0.95,0.95,exact,2.95e-11,2.28556962025e-10,5,0.401,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,MG,major_class,high_exact,MG,1,,rs4715018,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000198087,0.0424245446434473,0.0322195868714316,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|DOC2A|ENSG00000149927|Immune,AD,Bellenguez et al.,AD|DOC2A,DOC2A,rs1140239,rs1140239,AD|rs1140239,rs1140239,AD|rs1140239,DOC2A,ENSG00000149927,Immune,0.584,0.143,0.999977858486,0.999977858486,higher_expression_higher_disease_risk,0.9,0.9,exact,4.51e-05,0.000138944444444,3,0.156,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,MG,major_class,high_exact,MG,1,,rs12933575,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000149927,0.159543487198023,0.0813458368507136,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ECHDC3|ENSG00000148429|Immune,AD,Bellenguez et al.,AD|ECHDC3,ECHDC3,rs7912495,rs7912495,AD|rs7912495,rs7912495,AD|rs7912495,USP6NL,ENSG00000148429,Immune,0.099,0.025,0.999962525118,0.999962525118,higher_expression_higher_disease_risk,0.86,0.86,exact,5.83e-05,0.000176930348259,12,0.0559,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,MG,major_class,high_exact,MG;MG1,2,,rs7920721,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000148429,0.0246961118782827,0.0535039264782927,True,Braak,SEA-AD core3 donor pseudobulk,external_cohort_stage_validation_not_independent_genetic_anchor
