analysis_set,anchor_unit_id,disease,primary_gwas,locus_id,locus_label,gwas_lead_snp,source_gwas_lead_snps,source_lead_signal_ids,eligible_source_gwas_lead_snps,eligible_source_lead_signal_ids,gene_symbol,gene_id,cell_class,beta_G,SE_G,P_beta_G_positive,beta_G_sign_probability,direction_class,PP4,PP4_relaxed_max_diagnostic,coloc_join_status,mr_p_value,mr_bh_fdr,mr_nsnp,egger_intercept_p,eqtl_finemap_max_PIP,evidence_grade,grade_reason,primary_anchor_eligible,qtl_label,qtl_resolution,cell_mapping_confidence,source_qtl_labels,source_signal_count,all_signal_grades,qtl_lead_snp,complex_region,effect_interpretation,allele_reaudit_status,source_doi,gene_id_clean,beta_D,SE_D,expression_estimable,pathology_phenotype,disease_expression_resource,replication_role
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|APH1B|ENSG00000138613|Astro,AD,Bellenguez et al.,AD|APH1B,APH1B,rs117618017,rs117618017,AD|rs117618017,rs117618017,AD|rs117618017,APH1B,ENSG00000138613,Astro,0.334,0.143,0.990245628677,0.990245628677,higher_expression_higher_disease_risk,1.0,1.0,exact,0.0194,0.0308981723238,4,0.282,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ast,major_class,high_exact,Ast,1,,rs76855300,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000138613,0.0386531067766288,0.0284922635192294,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|DOC2A|ENSG00000149932|Astro,AD,Bellenguez et al.,AD|DOC2A,DOC2A,rs1140239,rs1140239,AD|rs1140239,rs1140239,AD|rs1140239,TMEM219,ENSG00000149932,Astro,0.234,0.018,1.0,1.0,higher_expression_higher_disease_risk,0.95,0.95,exact,9.99e-40,3.3855e-38,3,0.472,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast1,subtype_parent_mapping,high_parent,Ast1,1,,rs3814883,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000149932,0.0174909866005621,0.0345036870405104,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|JAZF1|ENSG00000153814|Astro,AD,Bellenguez et al.,AD|JAZF1,JAZF1,rs1160871,rs1160871,AD|rs1160871,rs1160871,AD|rs1160871,JAZF1,ENSG00000153814,Astro,0.086,0.037,0.989945940961,0.989945940961,higher_expression_higher_disease_risk,0.93,0.93,exact,0.0213,0.0336606217617,7,0.761,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast1,subtype_parent_mapping,high_parent,Ast1,1,,rs10245867,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000153814,0.0852774542483614,0.0368635360785628,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|MYO15A|ENSG00000131899|Astro,AD,Bellenguez et al.,AD|MYO15A,MYO15A,rs2242595,rs2242595,AD|rs2242595,rs2242595,AD|rs2242595,LLGL1,ENSG00000131899,Astro,-0.061,0.02,0.00114420683102,0.998855793169,higher_expression_lower_disease_risk,0.98,0.98,exact,0.00209,0.00442673611111,6,0.886,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast2,subtype_parent_mapping,high_parent,Ast2;Ast4,2,,rs57808902,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000131899,0.0250146268269886,0.0450960149623779,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|SCIMP|ENSG00000161929|Astro,AD,Bellenguez et al.,AD|SCIMP,SCIMP,rs7225151,rs7225151,AD|rs7225151,rs7225151,AD|rs7225151,SCIMP,ENSG00000161929,Astro,0.098,0.034,0.998026413322,0.998026413322,higher_expression_higher_disease_risk,0.95,0.95,exact,0.00429,0.0083875,7,0.0527,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast1,subtype_parent_mapping,high_parent,Ast1,1,,rs113806568,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000161929,-0.0483309060960104,0.0497611736227032,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|SPDYE3|ENSG00000239521|Astro,AD,Bellenguez et al.,AD|SPDYE3,SPDYE3,rs7384878,rs7384878,AD|rs7384878,rs7384878,AD|rs7384878,CASTOR3,ENSG00000239521,Astro,-0.543,0.086,1.35997879624e-10,0.999999999864,higher_expression_lower_disease_risk,0.99,0.99,exact,3.3e-10,2.21208791209e-09,5,0.449,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ast,major_class,high_exact,Ast;Ast2,2,,rs55796551,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000239521,0.0808857189276552,0.0428020566668393,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|WDR12|ENSG00000138439|Astro,AD,Bellenguez et al.,AD|WDR12,WDR12,rs139643391,rs139643391,AD|rs139643391,rs139643391,AD|rs139643391,FAM117B,ENSG00000138439,Astro,0.122,0.035,0.999754587533,0.999754587533,higher_expression_higher_disease_risk,0.81,0.81,exact,0.000592,0.00146796747967,6,0.391,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast,major_class,high_exact,Ast,1,,rs72936323,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000138439,-0.0053344267655462,0.0273829727033772,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|WDR12|ENSG00000163596|Astro,AD,Bellenguez et al.,AD|WDR12,WDR12,rs139643391,rs139643391,AD|rs139643391,rs139643391,AD|rs139643391,ICA1L,ENSG00000163596,Astro,0.177,0.022,1.0,1.0,higher_expression_higher_disease_risk,0.82,0.82,exact,1.1e-15,1.19821428571e-14,6,0.73,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ast,major_class,high_exact,Ast;Ast1;Ast2,3,,rs115130739,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000163596,0.0697063864944352,0.0268526234491796,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000151694|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,ADAM17,ENSG00000151694,EN,-0.222,0.081,0.00306504280471,0.996934957195,higher_expression_lower_disease_risk,0.83,0.83,exact,0.00592,0.010943030303,4,0.0702,1.0,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext,major_class,high_exact,Ext,1,,rs12992105,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000151694,-0.0300338529835731,0.0210529774562342,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000134330|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,IAH1,ENSG00000134330,EN,0.111,0.04,0.997239914609,0.997239914609,higher_expression_higher_disease_risk,0.87,0.87,exact,0.00515,0.00978660436137,7,0.133,,G2,PP4>0.8; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; strongest auxiliary criteria incomplete,yes,Ext4,subtype_parent_mapping,high_parent,Ext4;Ext8,2,,rs62119384,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000134330,-0.0143220420068766,0.0163552196651743,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
primary_singlebrain_major_plus_parent_mapped_subtypes,AD|AD|ADAM17|ENSG00000119185|EN,AD,Bellenguez et al.,AD|ADAM17,ADAM17,rs72777026,rs72777026,AD|rs72777026,rs72777026,AD|rs72777026,ITGB1BP1,ENSG00000119185,EN,0.191,0.024,1.0,1.0,higher_expression_higher_disease_risk,0.98,0.98,exact,1.13e-15,1.20929824561e-14,8,0.119,1.0,G1,PP4>=0.9; disease-GWAS BH-FDR<0.05; nsnp>=3; Egger intercept p>0.05; eQTL fine-map max PIP>=0.5,yes,Ext,major_class,high_exact,Ext;Ext2,2,,rs55793962,,Published TwoSampleMR IVW estimate with cell-type eQTL expression as exposure and disease GWAS as outcome,not_possible_from_public_supplementary_table_no_effect_alleles,10.1038/s41588-026-02541-x,ENSG00000119185,-0.0077127479822495,0.0152711292405742,True,CERAD,PsychAD RADC,stage_mechanism_not_independent_genetic_replication
